	Archaea	Bacteria	Eukaryotes	Viruses
M_mean	0.02509119876095049	0.02514498758105628	0.02683192887676277	0.024288702923500643
W_mean	0.008271716836498202	0.010996280458616092	0.013892461489469638	0.01469235199536625
C_mean	0.010120921185582759	0.010297443809509253	0.019124018069621756	0.019548710223824376
D_mean	0.06273131657173853	0.056970858239835095	0.051702249009616306	0.05300703072780497
E_mean	0.08117237463240212	0.06668709047895438	0.05803647775689045	0.05715741760206657
F_mean	0.030508092489721243	0.03723289093230466	0.0430406759673418	0.04046522016597806
H_mean	0.01871217919393006	0.021796309331351973	0.023980529457444392	0.022559888011963798
K_mean	0.06510281022994603	0.05743711026326639	0.05768151679465209	0.05798240276460445
N_mean	0.03354499342676947	0.03636217246324959	0.04250324491138723	0.04628688413032409
Q_mean	0.02255782525676534	0.0351442841871713	0.03811250793933109	0.038634273329397034
Y_mean	0.0334740889771017	0.02848333218959417	0.032341028102894784	0.035483468354572
I_mean	0.07503403187431032	0.06064858460557418	0.05447723823826151	0.057094490584629266
A_mean	0.0744136819498621	0.09531853890202789	0.07759394942402674	0.06830138389412145
G_mean	0.07709737002541232	0.07713760487195599	0.06730732360393606	0.06244728470375158
P_mean	0.04305588453424753	0.04437178170539998	0.05045050864108624	0.05126892429517012
T_mean	0.04863895267169333	0.05183498728245537	0.05682886716182834	0.06276678726164174
V_mean	0.08638329349345654	0.07411026459930406	0.06499720266908147	0.06496133958215919
L_mean	0.0883186226632895	0.09501556157892412	0.0967228751803919	0.09112610037044183
R_mean	0.06137488196463408	0.06091507958594435	0.05002777467465572	0.05758382775647693
S_mean	0.05439113107474936	0.05409305054851288	0.07427899204578281	0.07431460641637819
M_std	0.005925143399512727	0.006775536013066438	0.0105472375134688	0.007669161130719831
W_std	0.004691316775346867	0.00627018565181141	0.006185226849747444	0.0069466339831534656
C_std	0.004470754417636663	0.007567729763744696	0.01630476831062472	0.0102350917939793
D_std	0.0179985909635772	0.011059848384680037	0.01346386108461022	0.01221952561173063
E_std	0.011195324905806872	0.014360312687171469	0.016461758791285936	0.016280411709557095
F_std	0.00793832356954074	0.010883007209382156	0.010356597716616487	0.011670544889769407
H_std	0.005681131097340885	0.00683140182990104	0.008238753449735153	0.008370704454830695
K_std	0.02556792324248035	0.026869783884722567	0.019445334288665017	0.020395134349560636
N_std	0.010524087183493184	0.014998945982239014	0.013999927600594993	0.014898829823705531
Q_std	0.006233470083625596	0.010549750340194784	0.011625341870738581	0.011582189284302621
Y_std	0.008939114513836634	0.009279530380997039	0.008204807169924841	0.010404603773726553
I_std	0.020664047019608674	0.0202277869939046	0.01507413120795246	0.018822574733549053
A_std	0.02077180154282349	0.02784767830745627	0.019749379041775768	0.021919881703488884
G_std	0.01173709063793392	0.014437884816148326	0.020065793420174356	0.015947506704189946
P_std	0.008201572382532036	0.012846957831574071	0.013662573824842492	0.020869435569261113
T_std	0.010222639566443818	0.009447838008914895	0.011365068131308423	0.013253332976661793
V_std	0.014845595879921661	0.013437742627431214	0.011257228365017026	0.015671656589133054
L_std	0.012676376238637776	0.01611143998304969	0.023962700425324363	0.015807962446789996
R_std	0.01695555359188924	0.01888964674073634	0.01705421512712236	0.019195423237074512
S_std	0.012513451032828998	0.011963272560407297	0.01469008423252332	0.016752446918702514
